Model=ballHalf, matchID=1717297, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=0.92, middleScoreOddOfDefeat=0.90, middleBigOddOfVictory=0.85, middleBigOddOfDefeat=0.95, estValue=0, estProb=0.57
Model=oddHalf, matchID=1717297, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=0.92, middleScoreOddOfDefeat=0.90, middleBigOddOfVictory=0.85, middleBigOddOfDefeat=0.95, estValue=0, estProb=0.59
Model=ballHalf, matchID=1681788, middleHostScore=0, middleCustomScore=0, middleScoreOdd=-0.50, middleBigOdd=1.25, middleScoreOddOfVictory=1.04, middleScoreOddOfDefeat=0.80, middleBigOddOfVictory=0.90, middleBigOddOfDefeat=0.92, estValue=0, estProb=0.66
Model=ballHalf, matchID=1717297, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=0.92, middleScoreOddOfDefeat=0.90, middleBigOddOfVictory=0.85, middleBigOddOfDefeat=0.95, estValue=0, estProb=0.58
Model=ballHalf, matchID=1732935, middleHostScore=0, middleCustomScore=3, middleScoreOdd=-0.00, middleBigOdd=4.00, middleScoreOddOfVictory=0.94, middleScoreOddOfDefeat=0.94, middleBigOddOfVictory=0.77, middleBigOddOfDefeat=1.09, estValue=1, estProb=0.60
Model=oddHalf, matchID=1681788, middleHostScore=0, middleCustomScore=0, middleScoreOdd=-0.50, middleBigOdd=1.25, middleScoreOddOfVictory=1.04, middleScoreOddOfDefeat=0.80, middleBigOddOfVictory=0.90, middleBigOddOfDefeat=0.92, estValue=0, estProb=0.73
Model=oddHalf, matchID=1732935, middleHostScore=0, middleCustomScore=3, middleScoreOdd=-0.00, middleBigOdd=4.00, middleScoreOddOfVictory=0.94, middleScoreOddOfDefeat=0.94, middleBigOddOfVictory=0.77, middleBigOddOfDefeat=1.09, estValue=1, estProb=0.58
Model=ballHalf, matchID=1691244, middleHostScore=1, middleCustomScore=2, middleScoreOdd=-0.25, middleBigOdd=4.00, middleScoreOddOfVictory=0.91, middleScoreOddOfDefeat=0.97, middleBigOddOfVictory=0.75, middleBigOddOfDefeat=1.12, estValue=0, estProb=0.71
Model=oddHalf, matchID=1691244, middleHostScore=1, middleCustomScore=2, middleScoreOdd=-0.25, middleBigOdd=4.00, middleScoreOddOfVictory=0.91, middleScoreOddOfDefeat=0.97, middleBigOddOfVictory=0.75, middleBigOddOfDefeat=1.12, estValue=0, estProb=0.71
Model=oddHalf, matchID=1717297, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=0.92, middleScoreOddOfDefeat=0.90, middleBigOddOfVictory=0.85, middleBigOddOfDefeat=0.95, estValue=0, estProb=0.60
Model=ballHalf, matchID=1755162, middleHostScore=0, middleCustomScore=0, middleScoreOdd=-0.00, middleBigOdd=1.25, middleScoreOddOfVictory=0.89, middleScoreOddOfDefeat=0.99, middleBigOddOfVictory=1.14, middleBigOddOfDefeat=0.73, estValue=0, estProb=0.59
Model=ballHalf, matchID=1717297, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.25, middleBigOdd=2.25, middleScoreOddOfVictory=0.92, middleScoreOddOfDefeat=0.90, middleBigOddOfVictory=0.85, middleBigOddOfDefeat=0.95, estValue=0, estProb=0.59
